acc:0.5058904610012266 iou:10.817708333333332 evaltime:2

44444440_____________________111 4.0.............................
00_______________222222222222224 ...........2.....40.............

40______________________________ ............................3...

1____44444___________________111 ..........40....................

111111_____444444_______________ .....1.........4................

400____________________________2 ..........0.....................

1111____44444___________________ .1........4.....................

____________________111111111111 ........................1.......

000__________________________111 .....4..........................

4_______________11111111___44444 ..................1............4

00_________________________33333 ...............................3

00000000_______________________3 ................................

440000______________________3333 ...40...........................

2222222_44400000_______333333400 .....2.....40...................

0000_____22222222400000000______ ................................

40000__________________________1 40..............................

333333334444400000____________11 ........................0.......

__0__333333344003333333333333333 ........................3....40.

00000000________________________ ................................

00__________________111111333444 0............3.....4............

11____44444_____________________ ........4.......................

_______________000000000_____111 .......................3........

1_____4444400_0000______________ ..........4.....................

__________________________111111 ...........3.........40.........

______33333333440000000222222222 ................................

____11111___44444_______________ ....1.........4.................

_____3_3333444440000________1111 .........3....40................

0000____________________________ ......0.........................

000________2222224000_____000000 ................3......40.......

__________111111__3444444_______ ............1...........4.......

222222_444000000______3333344000 ....2.....40....................

44444_______________222222222222 ............................0...

00000000000000__________________ ....0...........................

4000______________00____33333344 ...............3................

400000____00000000______________ ...........0....................

_________111111__444400________1 ...........1........4...........

__________________________111111 .............3.........40.......

________________________11111111 ...........................1....

00000_______________________3333 .40.............................

00000000000________________33333 ................................

22223333333444444000____11111111 ............................1...

___44444______________________11 .....4..........................

11____44400000__________________ ........40......................

000_____________________________ ................................

1__444444__________________11111 .......4........................

0000________________________3333 .....0..........................

00000_33333402222222240000000___ ....4...........................

1___44444_______________________ ........4.......................

0000___3334400______222222224000 ................................

440_______________00000_________ ..40............................

000__________________________111 ................................

333334400000____________________ ..3....40.......................

_______2222222222222222222222444 .2.....40.......................

000_________________________1111 .................3...4..........

3333_4444444____________________ .3........4.....................

________________00000_________11 40..............................

4_________1111111__444000_______ ............1............4.....0

000_________111111__4440000000__ .............1..........40......

_____________________00000000000 ............................0...

0000___________________________1 ..........0.....................

_____________0_00000000000000000 ..............................0.

_______0_00000000_______________ ........................0.......

____________000000______11111111 ..............2......4....0.....

___111111___4440000__________111 .......1.........40.............

6_________________0000__00000000 ............0...................

_____________1111111_4444444____ ...............1........4.......

44400_________1111111_4444000001 ..4..............1........4.....

000_3333344444000000000000000000 .....3...4......................

1____444000_____________________ .........40.....................

______1111__4440_____11111111144 .......................1........

4000________________________1133 ..............................0.

040000_________________________1 ................................

__222224400000__0000000000000000 .........3......40..............

00000_02222200000000000000000222 ................................

4_333344444________________11111 ...3....4.......................

__0_____________________11111111 ....4.................0.........

00________________________111111 ........40......................

________________1111111_44400000 .................1........40....

_____________________00000000000 ............................0...

______00________________11111111 ............................1...

_____________________00000000000 ......................4.........

333333_44444444_________________ ....3........4..................

_______________________111111111 ..........................1.....

40______________________________ ..............3....40...........

000____________111111__444000000 ................1.............4.

0000________________________3333 ...........................3...4

4444__22222244444444444400000000 ............................0...

_______5555555555555551111111111 .4..............................

_11111____4444000___________1111 ...1..........4.................

_44000___33331111114444000000___ .................3.........4....

______0000000000________________ .......................0........

00000_______33333333444444000000 1..........4....................

4440000_________________________ 40..............................

_40_______________________333333 ..4..0..........................

________________________33333333 ...........................3....

000_________________________1113 ...............................3

4400______________33334400222222 ................3.........4.....

0000_________________________111 0...............................

00000___________________33333333 ...........................5....

________________1111111__4444444 ..................1...........4.

440________111111_4440000_______ ..........3..1.......40.........

33440000________________________ ....40..........................

22__4040000___________________11 .2...40.........................

0________________222222222222222 .........................2.....4

_______11111___440000___________ .........1.2.......2...40.......

________333340000222220000000333 ..............................2.

1___44040000____________________ .......40.......................

__________________22222222222222 ..........................2.....

________111111___444000_________ ..........1............4.....0..

4000000000000000________________ .....40.........................

________________________11111111 .............................1..

4________________________1111111 .4..............................

222_4400000__________00000______ ..2.....40......................

333333333440000000______________ ............................2...

____________________333333333333 ....................3...........

________________________11111111 .............................1..

000_______1111111__4440000______ ..............1........4........ 40_________1_______40___________ beam

00________000________11111111444 40............3.....4........... 0_________0__________1_11111_441 beam

00_________________2222222222224 ..............................2. 0__________________2_22222222403 beam

_____________111111_____44444444 ................1..........4.... _____________1__________40______ beam

_______3333333333333333334422222 ............3..........4........ _______3_33340334033333402402222 beam

________________________11111111 .............................1.. ________________________1_111111 beam

3404000___________________333333 ..3...40........................ _40_______________________3__403 beam

111___4440000___________________ .1.2.......2...40............... _1_____40_______________________ beam

