acc:0.9274782352619408 iou:14.197916666666666 evaltime:2

____4400___3333____444444_______ ......40.....3.......4..........

40000___________________________ ..40............................

4_________________________000000 ..............................0.

__________________55555555555555 .......................5....4...

3__4400_________________________ ....40..........................

_________________________2222222 ...........................2....

____________________________3333 .............................3..

_________________1111_____44000_ ...................1........40..

1___444422222440000___________00 ......4....2..4.................

4444____________________________ 4...............................

000______________________3333__4 ..........................3.....

_________0000033333______4444444 ............0...3...........4...

__44400____________3333__4000___ ....40..........................

11__________4400________________ 1............40.................

_______________11111___________4 ................1...............

0000______3333_4444_____________ .0.........3....4...............

_______22222_44400________33333_ .........2.....40..........3....

_________222244000_________22222 ..........2...40.............2..

___________2222__44000__________ ............2.....40............

111_______444444________________ .1.........4....................

400_________________________3333 40.............................3

4000__________________________2_ ................................

________________________00000000 ..........................0.....

000000_______________________111 ..0.............................

0____________________________111 ................................

0____333344000__________________ .......3..40....................

_______________________11111____ .........................1......

444________________000000_______ .......................0........

___________22222__444000________ .............2......40..........

44__________________________0000 ................................

_________________________0000000 ...........................0....

2__440022222___44000____________ ....40...2......40..............

_______44400____________________ ........40......................

_________________________3333___ ..........................3..... _________________________3_____4 beam

___________________________22222 .............................2.. ___________________________22222 beam

______________________1111____44 .......................1........ ______________________1_______40 beam

____________________________0000 ................................ ____________________________0___ beam

4_____________________________11 ................................ 40____________________________1_ beam

______0000______________________ .......0........................ ______0_________________________ beam

____1111____4411111____444444444 .....1........41.........4...... ____1111____441111______4_______ beam

_____3333_444000____________1111 .......3....4.0................1 _____3____40________________1111 beam

