0.15969492831537802 0.9606441915216087 0.9253402217741935

____________11_____________44411 .............1..............4..1
______________________11_______4 .......................1........

___________________11_______4400 ....................1........40.

________________11_______4400___ .................1........40....

_____________11_______400_______ ..............1........40.......

_________11_______4400__________ ..........1........40...........

______11_______4400_____________ .......1........40..............

____1_______4400_____________333 ....1........40................3

11_______440______________333___ .1........40................3...

______440______________3333___44 .......40................3......

___40_______________333____4000_ ...40................3......40..

40_______________333____4000____ 40................3......40.....

______________333___44000_______ ...............3......40........

___________333___44000__________ ............3......40...........

________________333____44_______ ..................3.....4.......

_____________333___444__________ ...............3.....4..........

__________333___444_____________ ...........3.....4..............

______333____44_________________ ........3.....4.................

____33____44____________________ .....3.....4....................

_33____44_______________________ ..3.....4.......................

____44__________________________ .....4..........................

440_____________________________ .4..............................

________________________________ ................................

__40____________________________ ................................

________________________________ ................................

_______________________________1 ...............................1

__________________________111___ ............................1...

_______________________1111_____ .........................1......

_____________________11________4 .....................1..........

____4_____________11________4444 ..................1...........4.

_______________11_________444000 ...............1...........4..0.

____________11_________444000000 ............1...........4..0....

________111_________440000______ .........1...........4..0.......

____1111________444000__________ .....1...........4..0...........

__11_________440000_____________ ..1...........4..0..............

__________444000________________ ...........4..0.................

_______440000___________________ ........4..0....................

_____40000______________________ .....4..0.......................

_444000_________________________ .4..0...........................

_0______________________________ .0..............................

______________________________33 ................................

________________________________ ................................

________________________________ ................................

_______________________________0 ................................

________________________________ ................................

____________________________2222 ..............................2.

_________________________222_443 ..........................2....4

______________________222__44000 .......................2....40..

___________________222___4000000 ....................2....40.....

________________222__440000_____ .................2....40........

_____________222__44000_____333_ ..............2....40...........

_________2222__4000_____________ ..........2....40...............

______222___44000_______________ .......2....40..................

0______0____________________00__ 0...............................

___0_________________00_________ ................................

___________________________33333 ...............................3

__________________________3333__ ............................3...

________________________33333__4 .........................3......

_____________________33333_44444 ......................3......4..

_________________333____444_____ ..................3......4......

______________333___4444________ ...............3......4.........

___________333___4444___________ ............3......4............

________33____4444______________ .........3......4...............

____333____4444_________________ ......3......4..................

_3333___440_____________________ ..3......4......................

__3__4444_______________________ ......4.........................

__440___________________________ ...4............................

40_________________________33333 4............................3..

4_______________________3333_440 ..........................3....4

_____________________3333_44011_ ......................3....40...

__________________333__400______ ...................3....40......

_______________333__400_________ ................3....40.........

____________333_4400____________ .............3....40............

_________33__4400_____________33 ..........3....40...............

_____333__4400__________________ ......3....40...................

__333__4000_________________1111 ...3....40.....................1

3__40000__________________11133_ 3....40.....................1...

__40___________________1113_____ ..40.....................1......

_________________________111____ ..........................1.....

______________________11________ .......................1........

___________________11_______440_ ...................1.........4..

_______________111_______444____ ................1.........4.....

____________111_______444_______ .............1.........4........

__________1________444__________ ..........1.........4...........

______11________444_____________ .......1.........4..............

___11________44_________________ ...1.........4..................

11________44____________________ 1.........4.....................

______444_______________________ .......4........................

____40__________________________ ....4...........................

_40_____________________________ .4..............................

____________________________1111 ..............................1.

__________________________1111__ ...........................1....

_______________________111______ ........................1.......

___________________111_________4 ....................1...........

________________111_________4444 .................1.............4

_____________1111_________44444_ ..............1.............4...

__________1111_________4444_____ ...........1.............4......

_______11___________444_________ ........1.............4.........

____11___________444____________ ....1.............4.............

_1____________444_______________ .1.............4................

_1_________444__________________ ............4...................

________444_____________________ .........4......................

_____444________________________ ......4.........................

__44____________________________ ..4.............................

________________________________ ................................

________________________________ ................................

4_______________________________ ................................

________________________________ ................................

_0______________________________ .0..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

_______________________________3 ................................

__________________________33333_ .............................3..

________________________333____4 .........................3......

_____________________333____4000 ......................3.......40

__________________333____44000__ ...................3.......40...

_______________33_____44000_____ ................3.......40......

____________33_____4400_________ .............3.......40.........

________333____44000_________333 .........3.......40............3

_____333_____4000_________33333_ ......3.......40............3...

__333_____4000__________333___44 ...3.......40............3.....4

3______400___________333___444__ 3.......40............3.....4...

__4__40___________33____44______ .....40............3.....4......

_40___________333___4444________ .40............3.....4..........

___________333___444____________ ............3.....4.............

________333___444_______________ .........3.....4................

_____333___444__________________ ......3.....4...................

__333___444__________________333 ...3.....4......................

_3___40_________________________ .....4..........................

__40____________________________ ..4.............................

______________________________3_ ................................

_____________________________000 ..............................0.

__________________________00___3 ...........................0....

_______________________00_____33 ........................0.......

____________________00__________ ....................0...........

________________000_____________ .................0..............

4____________00_________________ ..............0.................

__________00____________________ ...........0....................

_______00_______________________ ........0.......................

____0___________________________ ....0...........................

_0______________________________ .0..............................

_________400_________11______400 .........40...........1.......40

______40__________111_____44003_ ......40...........1.......40...

___40__________11______440333333 ...40...........1.......40...3..

40__________11_____4400_33334000 40...........1.......40...3..4..

_________11_____440__3334400____ .........1.......40...3..4......

______11_____440_3333444________ ......1.......40...3..4.........

___11______40__3334440__________ ...1.......40...3..4............

11_____440__333_400_____________ 1.......40...3..4...............

____440_333_440_________________ .....40...3..4..................

_40___33_44_______________111111 .40...3..4..................1...

___33_440_______________1111____ ...3..4..................1......

3__44________________111________ 3..4..................1.........

40________________111_______4400 4..................1.........40.

_______________111________400___ ................1.........40....

____________11_______44400______ ............1.........40........

_________11_______4400__________ .........1.........40...........

______11_______4000_____________ ......1.........40..............

___11_______4400________________ ...1.........40.................

11________400___________________ 1.........40....................

______400_______________________ ......40........................

___400__________________________ ...40...........................

400_____________________________ 40..............................

_____________________________333 ..............................3.

__________________________333_44 ...........................3...4

_______________________333_44000 ........................3...40..

___________________333344000____ ....................3...40......

________________333_44000_______ .................3...40.........

_____________333_44000__________ ..............3...40............

__________333_4400______________ ...........3...40...............

_______33__4400_________________ ........3...40..................

___333_44000____________________ ....3...40......................

_33_4400________________________ .3...40.........................

__40____________________________ ..40............................

0_______________________________ 0...............................

________________________________ ................................

________________________________ ................................

__________________________11111_ ............................1...

_______________________1111_____ .........................1......

____________________1111_______4 ......................1.........

__________________11________4444 ...................1...........4

_______________11_________44444_ ................1...........4...

____________11________4444______ ............1...........4.......

_________11________444__________ .........1...........4..........

______1_________444_____________ ......1...........4.............

__11_________4444_______________ ...1...........4................

1_________444___________________ 1...........4...................

_______44_______________________ ........4.......................

___444__________________________ .....4..........................

4444_______________________66666 ..4.............................

____________________________00__ ............................0...

_________________________00__333 .........................0......

_____________________00_________ ......................0.........

___________________00______1111_ ...................0.........1..

_______________00_______111_____ ...............0.........1......

____________00________11______44 ............0.........1........4

_________00________11______44___ .........0.........1........4...

______0_________1_______44______ ......0.........1........4......

___0_________1_______44_________ ...0.........1........4.........

_________11______44_____________ .........1........4.............

______1_______44________________ ......1........4................

___1_______444__________________ ...1........4...................

1_______44______________________ 1........4......................

____4444_____________________000 ......4........................0

__40______________________000___ ..4........................0....

__________________33_____444____ ...................3......4.....

_______________33____444________ ...............3......4.........

___________333____444___________ ............3......4............

________333____4444_____________ .........3......4...............

_____333____444_________________ ......3......4..................

__33_____444____________________ ...3......4.....................

______44________________________ ......4.........................

___44_4_________________________ ...4............................

4444____________________________ 4...............................

0_____________________333___4400 0.......................3....40.

0_________________33333_4400____ ....................3....40.....

________________333__4400_______ .................3....40........

____________33333_4400__________ ..............3....40...........

_________3333__4400_____________ ...........3....40..............

______333___400_________________ ........3....40.................

__3333___4000___________________ ....3....40.....................

333___400_______________________ .3....40........................

3__400__________________________ ...40...........................

400_____________________________ 40..............................

_____________________________111 ..............................1.

__________________________1111__ ...........................1....

_______________________11______4 ........................1.......

____________________11______4003 .....................1.......40.

_________________11______400____ .................1.......40.....

_____________111_____4400_______ ..............1.......40........

__________111_____400___________ ...........1.......40...........

_______111_____400______________ ........1.......40..............

____111_____400_________________ .....1.......40.................

_11______400____________________ .1.......40.....................

______400_______________________ ......40........................

___400__________________________ ...40...........................

40_40___________________________ 40..............................

0__0____________________________ ................................

________________________________ ................................

0_______________________________ ................................

____________________________111_ ................................

___________________________3333_ ..............................3.

________________________333___44 ..........................3.....

_____________________333___4400_ .......................3.....40.

__________________333___44000_00 ....................3.....40....

_______________333___4400_______ .................3.....40.......

____________333___4400__________ ..............3.....40..........

________3333__4400______________ ..........3.....40..............

_____333___4400_________________ .......3.....40.................

__333___4400____________________ ....3.....40....................

333___400_______________________ .3.....40.......................

____400_________________________ ....40..........................

400_____________________________ 40..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

___________________________22222 .............................2..

________________________222___44 .........................2.....4

_____________________222___40000 ......................2.....40..

__________________222___40000___ ...................2.....40.....

_______________222___4000_______ ................2.....40........

____________222___4000__________ .............2.....40...........

________222____400______________ .........2.....40...............

_____222____4000________________ ......2.....40..................

__222___40000___________________ ...2.....40.....................

22____4000______________________ 2.....40........................

2__400__________________________ ...40...........................

00______________________________ 0...............................

0_______________________________ ................................

_3______________________________ ................................

________________________________ ................................

____________________________0000 ..............................0.

_________________________0000___ ...........................0....

______________________0000______ ........................0.......

____________________000_________ .....................0..........

_________________000____________ ..................0.............

______________00________________ ..............0.................

__________000___________________ ...........0....................

_______00_______________________ ........0.......................

40______________________2222_444 .0.......................2....40

_0__________________2222__440000 .....................2....40....

_________________222___400______ ..................2....40.......

______________222___400__0______ ...............2....40..........

___________222__440_____________ ............2....40.............

________222__440______________33 .........2....40................

____222___400___________________ .....2....40....................

__22___440______________________ ..2....40.......................

_40_400_________________________ ....40..........................

_40_____________________________ .40.............................

_0______________________________ ................................

________________________________ ................................

______________________________33 ................................

________________________________ ................................

_____________________________11_ ................................

0_______________________________ ................................

___________________________11133 ............................1.3.

________________________113333__ .........................1.3....

_____________________11333______ ......................1.3.......

_________________11133______4400 ..................1.3.......40..

_______________1133_____040___00 ...............1.3.......40.....

____________1133_____040________ ............1.3.......40........

_________1133_____440___________ .........1.3.......40...........

______1333_____040______________ ......1.3.......40..............

__1133______40__________________ ..1.3.......40..................

33_______40_____________________ .3.......40.....................

_____400___40___________________ ......40........................

___40___________________________ ...40...........................

40______________________________ 40..............................

___________________________3333_ ............................3...

________________________3333___4 .........................3......

_____________________333___444__ ......................3......4..

__________________333___444_____ ..................3......4......

_______________333___444________ ...............3......4.........

____________33____444___________ ............3......4............

________333____44_______________ .........3......4...............

_____333____44__________________ ......3......4..................

__333____44_____________________ ..3......4......................

______40________________________ ......4.........................

___44___________________________ ...4............................

4_44__________________________33 4...............................

___________________________22222 .............................2..

________________________22224433 ..........................2..403

______________________2224433333 .......................2..4033..

__________________22244333333333 ....................2..4033...3.

_______________22244333333334433 ................2..4033...3....4

____________22244333333333444333 .............2..4033...3....4...

_________22244333333333344444444 ..........2..4033...3....4.....2

______22244333333333444402222233 .......2..4033...3....4.....2...

___222443333333334444442222_4400 ....2..4033...3....4.....2....40

22443333333344444444222_44000___ 2..4033...3....4.....2....40....

40333333344444442222__4000______ 4033...3....4.....2....40.......

333333_4444442222__4000________1 3...3....4.....2....40..........

333___44___222__4400____________ .3....4.....2....40.............

_333______444___________________ ..3........4....................

______444_______________________ .......4........................

____44__________________________ ....4...........................

_44_____________________________ .4..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

___________________________1111_ .............................1..

________________________111_____ .........................1......

____________________111_________ ......................1.........

__________________111______4444_ ...................1.........4..

_______________11_______444_____ ................1.........4.....

____________11_______444________ .............1.........4........

_________11_______444___________ .........1.........4............

_____11________444______________ ......1.........4...............

_1111______4444_________________ ...1.........4..................

1________44_____________________ 1.........4.....................

______44________________________ .......4........................

___44___________________________ ...4............................

4________________00_____________ 4...............................

4_______________________________ ................................

____0________________0__________ ................................

_____________________000________ ................................

_________________________00_____ ................................

____________0________________0__ ................................

___________________________0000_ .............................0..

_________________________000____ ..........................0.....

____________________0000________ .......................0........

__________________000___________ ....................0...........

________________00______________ .................0..............

_____________00______________555 .............0..................

_______0__00______________555555 ..........0..................50.

____0__0_______________555555555 .......0..................50....

____0______________5555555550000 ....0..................50......0

_0____________555555555500000000 .0..................50......0...

_________55_55555555000000____11 ................50......0......1

___5__55_5555555500_00_____11_3_ .............50......0......1...

5__55_55055505_0__00____11______ ..........50......0......1......

55055055505_0_00_____11______440 .......50......0......1......4..

555550_50__00_____11_____440____ ....50......0......1......4.....

55055___0_____11______44________ 50......0......1......4.........

5_0__00_____1______44___________ .....0......1......4............

_00______1______44______________ ..0......1......4...............

0_____1______44_________________ ......1......4..................

___1______44____________________ ...1......4.....................

______44________________________ ......4.........................

___44___________________________ ...4............................

444_____________________________ 4...............................

____________________________1111 ..............................1.

_________________________111____ ..........................1.....

______________________11________ .......................1........

___________________111_______444 ....................1..........4

________________111_______444___ .................1..........4...

_____________11________444______ ..............1..........4......

_________111_______444__________ ..........1..........4..........

______11________444_____________ .......1..........4.............

__4_____________________________ ..4.............................

______________________6666666666 .............................6..

_0______11__________4400________ .0.......1............40........

_0__111__________4400___________ .....1............40............

_11___________4400______________ ..1............40...............

___________4400_________________ ............40..................

________4400____________________ .........40.....................

______40________________________ ......40........................

_44_____________________________ ..4.............................

________________________________ ................................

______________________________11 ................................

____________________________1111 .............................1..

_________________________111____ ..........................1.....

______________________111_______ .......................1........

___________________11_______444_ ....................1........4..

________________11_______444____ .................1........4.....

_____________11______444________ .............1........4.........

__________11______444___________ ..........1........4............

______11_______44_______________ .......1........4...............

____1_______444_________________ ....1........4..................

_11______44_____________________ .1........4.....................

______44________________________ ......4.........................

___44___________________________ ...4............................

4__4____________________________ 4...............................

___0____________________________ ................................

____________________________000_ .............................0..

_________________________000____ ..........................0.....

______________________000___3333 .......................0......3.

___________________000____333344 ....................0......3...4

________________000____333_4444_ .................0......3...4...

_____________00____3333444______ .............0......3...4.......

__________00____333_444_________ ..........0......3...4..........

_______00____333_4444___________ .......0......3...4.............

____00____333_4444______________ ....0......3...4................

_0_____333_444_________________1 .0......3...4...................

___333_4444_____________________ ....3...4.......................

333__44_________________________ .3...4..........................

__4___________________________33 ..4.............................

___________33____4______________ ................................

________________________________ ................................

___44_______________________2222 .............................2..

_________________________2222__4 ..........................2.....

______________________222___4000 .......................2.....40.

___________________222__4400____ ...................2.....40.....

________________22___4400_______ ................2.....40........

____________2222__400___________ .............2.....40...........

_________222___400______________ ..........2.....40..............

______222___400_________________ .......2.....40.................

___222__4400____________________ ...2.....40.....................

22___440________________________ 2.....40........................

__440___________________________ ...40...........................

40______________________________ 40..............................

________________________________ ................................

_0______________________________ .0..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

______________________________00 ...............................0

___________________________000__ ............................0...

________________________000_____ .........................0......

_____________________000________ ......................0.........

__________________000___________ ...................0............

______________000____________222 ...............0..............2.

___________000____________222340 ............0..............2..40

_________00____________222440000 .........0..............2..40...

___0__0_____________2224400_____ ......0..............2..40......

___0_____________22_4000________ ...0..............2..40.........

______________224400____________ ..............2..40.............

___________224400_______________ ...........2..40................

_______________2222433334000____ ................2..403.40.......

____________222243334400________ .............2..403.40..........

_________222443334400___________ ..........2..403.40.............

______222443334000______________ .......2..403.40................

___222443334000_________________ ....2..403.40...................

22340334400_____________________ 2..403.40.......................

4033_4400_______________________ 403.40..........................

_400_00_________________________ .40.............................

________________22______________ ................................

________________________________ ................................

____________________________1111 .............................1..

_________________________11_____ ..........................1.....

______________________11________ .......................1........

___________________11_______44__ ....................1.........4.

________________11_______444____ .................1.........4....

_____________11_______444_______ .............1.........4........

_________11________44___________ ..........1.........4...........

______11________44______________ .......1.........4..............

___11________444______________33 ....1.........4.................

11________44____________________ .1.........4....................

______444___________________000_ .......4.....................0..

____44___________________000____ ....4.....................0.....

_44___________________00________ .4.....................0........

___________________000__________ ....................0...........

________________0000____________ .................0..............

_____________00_________________ .............0..................

_________000____________________ ..........0.....................

_______00_______________________ .......0........................

00__0___________________________ ....0...........................

00__0___________________________ .0..............................

_______________________________1 ................................

_____________3__________________ ................................

________________________________ ................................

______________________________11 ................................

_________________________00_____ ................................

_______________________________0 ................................

_____________________________00_ ................................

___________________________22222 .............................2..

________________________2222____ ..........................2.....

_____________________2222___4400 ......................2......40.

__________________2222___4400___ ...................2......40....

_______________222____4400______ ................2......40.......

____________222____400__________ .............2......40..........

_________222____400_____________ ..........2......40.............

_____2222____400________________ ......2......40.................

__2222____400___________________ ...2......40....................

22____440_______________________ 2......40.......................

____40__________________________ ....40..........................

_40_____________________________ .40.............................

00______________________________ .0..............................

________________________________ ................................

___________________________23333 ..............................3.

________________________22333_44 ...........................3....

______________________3333___440 ........................3.......

__________________23333___440000 ....................3.........40

_______________23333_____44000__ .................3.........40...

_____________333______44000_____ ..............3.........40......

__________333______4400_________ ...........3.........40.........

_______33_______4400____________ ........3.........40............

___333_______4400_______________ ....3.........40................

_3________4400__________________ .3.........40...................

_3_____4400_____________________ ........40......................

_____40_________________________ .....40.........................

_440_______________________111__ ..40.........................1..

______________224400____________ ..............2..40.............

___________224400_______________ ...........2..40................

________224400__________________ ........2..40...................

_____224400_____________________ .....2..40......................

0_2_3400________________________ ..2..40.........................

_40_____________________________ .40.............................

________________________________ ................................

____________________________0000 .............................0..

_________________________000____ ..........................0.....

______________________000_______ .......................0........

___________________000__________ ....................0...........

________________000_____________ ................0...............

_____________00_________________ .............0..................

__________00____________________ ..........0.....................

_______0________________________ .......0........................

___00___________________________ ....0...........................

0_______________________________ 0...............................

__4_________________________000_ ..............................0.

__________________________00____ ..........................0.....

______________________000_______ .......................0........

___________________000__________ ....................0...........

________________000_____________ .................0..............

_____________000________________ ..............0.................

__________00____________________ ..........0.....................

______00________________________ .......0........................

_0__0___________________________ ....0...........................

_0__0___________________________ .0..............................

____________________________1111 .............................1..

_________________________111____ ..........................1.....

______________________11________ .......................1........

___________________11___________ ....................1...........

________________11_________44444 ................1...........4...

_____________11_________444_____ .............1...........4......

_________111_________444________ ..........1...........4.........

_______1__________444___________ .......1...........4............

___11__________444______________ ....1...........4...............

11__________44__________________ 1...........4...................

1________44_____________________ .........4......................

______44________________________ ......4.........................

___44___________________________ ...4............................

44_4____________________________ 4...............................

________________________00______ .........................0......

____________________000_________ .....................0..........

_________________000____________ ..................0.............

______________000_______________ ...............0................

___________00___________________ ............0...................

_________0______________________ .........0......................

_____00_________________________ .....0..........................

__00________________________3333 ..0............................3

__________________________333333 ............................3...

________________________3333_444 .........................3......

_____________________33333_____3 ......................3.........

_________________333_______44111 ..................3...........41

______________333_______44411___ ...............3...........41...

___________333________4411______ ............3...........41......

________333________4411_______40 .........3...........41........4

_____333________4411______4400__ ......3...........41........40..

__3333_______4411______400333333 ..3...........41........40....3.

3_________4411_____4400_3333__44 ...........41........40....3....

_______4411______400__333____444 ........41........40....3.......

____4411______400__3333____4444_ .....41........40....3........4.

_4411______400__333______4444___ ..41........40....3........4....

______4440___333_____4444_______ ........40....3........4........

_____400__333_____4444__________ .....40....3........4...........

___________________________0000_ ................................

0___________________________000_ 0...............................

________________________________ ................................

____________________________2222 .............................2..

_________________________2222___ ..........................2.....

______________________222_______ .......................2........

___________________222_______400 ...................2..........40

________________222_______4000__ ................2..........40...

_____________222_______4000000__ .............2..........40......

_________2222______4000_________ ..........2..........40.........

______2222______4400__0_________ .......2..........40............

___222_______4000_______________ ...2..........40................

222_______4400__________________ 2..........40...................

_______4400_____________________ ........40......................

____4400________________________ .....40.........................

_440____________________________ ..40............................

________________________________ ................................

________________________________ ................................

___________________________33333 .............................3..

________________________3333__44 ..........................3.....

_____________________3333__44000 .......................3.....40.

__________________333___44000___ ...................3.....40.....

_______________333___4400_______ ................3.....40........

____________333___4000__________ .............3.....40...........

_________333___4000_____________ ..........3.....40..............

_____333___4400_________________ .......3.....40.................

__333___4400____________________ ...3.....40.....................

33___4400_______________________ 3.....40........................

_0_40___________________________ ...40...........................

40______________________________ 40..............................

00_______________00000__________ 0.................0.0...........

0____________000000_____________ ..............0.0...............

___________0000_________________ ...........0.0..................

_______00000____________________ ........0.0.....................

__0_0000________________________ .....0.0........................

00000___________________________ ..0.0...........................

00______________________________ 0...............................

________________________________ ................................

____________________________1111 ..............................1.

__________________________11____ ..........................1.....

_______________________11_______ .......................1........

___________________11_______4444 ....................1.........4.

________________11________44____ .................1.........4....

_____________11_______444_______ ..............1.........4.......

__________11_______444__________ ..........1.........4...........

______11________44______________ .......1.........4..............

___11________44_________________ ....1.........4.................

_1________444___________________ .1.........4....................

_______44_______________________ ........4.......................

____44__________________________ ....4...........................

_44_____________________________ .4..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

_________________________11_____ ................................

_____________________________111 ..............................1.

__________________________111___ ...........................1....

_______________________111______ ........................1.......

____________________11_______444 ....................1..........4

_________________11_______4444__ .................1..........4...

_____________111________44400000 ..............1..........4....0.

__________111_______444__000____ ...........1..........4....0....

_______11_________444_000_______ ........1..........4....0.......

____1_________444__000__________ ....1..........4....0...........

____________11________44411_____ .............1..........4.......

_________11________444__________ .........1..........4...........

_____111_______4444_____________ ......1..........4..............

___11________4444_______________ ...1..........4.................

1__________444__________________ 1..........4....................

_______4444_____________________ ........4.......................

___44_44_________________11_____ ....4...........................

_444_________________111________ .4..............................

_____________000___5555555550000 ..............................0.

____________0___5555555500000000 ..........................0.....

______________5555550000000_____ .......................0........

_____________00000000000________ ....................0...........

__________000000000000__________ .................0..............

________00000000000_____________ ..............0.................

0_____000000000_________________ ..........0.....................

0_00000000___________555555555__ .......0........................

06000_________55555555555555____ ....0...........................

6600_________5555555555555555_55 .0..............................

666_____555555555555555555555555 .............................15.

666_____555555555555555555555555 .........................15.....

666_____555555555555555555555555 ......................15........

666_____555555555555555555555555 ...................15...........

666_____555555555555555555555555 ................15..............

66___555555555555555555___4444_0 .............15.................

5555555555555555555______4444400 .........15.................40..

5555555555555555________4400____ ......15.................40.....

5555555555555________4440_______ ...15.................40........

5555555555________4440__________ 15.................40...........

155__3333_____4400______________ ................40..............

____33_____4400_________________ ............40..................

________4400____________________ .........40.....................

______440_______________________ ......40........................

___4000_________________________ ...40...........................

4404____________________________ 40..............................

____________________________3333 .............................3..

_________________________3333___ ..........................3.....

_______________________333___444 .......................3........

00__0___________________________ .0..............................

________________________________ ................................

______________________________3_ ................................

___________________________22222 .............................2..

________________________22224433 ..........................2..403

______________________2224433334 .......................2..403.40

___________________2224433300000 ....................2..403.40...

_______________2222433334000____ ................2..403.40.......

____________222243334400________ .............2..403.40..........

_________222443334400___________ ..........2..403.40.............

______222443334000______________ .......2..403.40................

___222443334000_________________ ....2..403.40...................

22340334400_____________________ 2..403.40.......................

4033_4400_______________________ 403.40..........................

_400_00_________________________ .40.............................

