2.8690167011753207 0.30274240858912754 0.8814894153225806

____11___________44444_____44___ .....1...........4..............
____________4______________1111_ ......4.....................1...

_______________________11111____ ...4.....................1......

______________________11______11 .....................1..........

________________1__11________111 ..................1...........40

______________111_______________ ...............1...........40...

___________111__________________ ............1...........40......

_________1_______________4000___ .........1...........40.........

____1111____________4444________ .....1...........40.............

_11_______44_______444__________ ..1...........40................

_______________444___________11_ ...........40...................

____________4___________________ ........40......................

__________4_____________________ .....40.........................

________________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________0_______ ................................

_______________________3____0___ ................................

________________________________ ................................

__________________________444___ ................................

40___________22_________________ 0...............................

____0_______________________3333 ................................

0_2_____________________________ ................................

4_440________________________0__ ................................

____________________________1111 ................................

_____________________________00_ ................................

________________________________ ................................

______________________0_________ ................................

________________________________ ................................

__3_3____4______________________ ................................

3_______________________________ ................................

________________________________ ................................

________________________________ ................................

0_____________________________11 ..............................3.

0__________________________33__0 ...........................3....

__440___________________________ ........................3....40.

4__4____________________________ .....................3....40....

________________________________ ..................3....40.......

2_____4400_________33___4400____ 2.....40..........3........4....

__440__________33____4400_______ ...40..........3........4.......

4__4________33___4440___________ 40..........3........4..........

_________33___4400______________ .........3........4.............

_____33____4400_________________ .....3........4.................

__33____440_____________________ ..3........4....................

_____440________________________ ........4.......................

__44_________________________222 .....4..........................

_____3__________________________ ..4.............................

________________________________ .............................0..

________________________________ ..........................0.....

________________________________ ......................0.........

________________________________ ...................0............

________________________________ ................0...............

________________________________ .............0..................

________________________________ ..........0.....................

_______________________33_______ ......0.........................

________________________________ ...0............................

________________________________ 0...............................

________________________________ 0...............................

____________________________3333 ................................

________________________________ ................................

______3____44___________________ ................................

___________________________22222 ..............................2.

_________________________2222___ ...........................2..4.

______________________2222_44000 .......................2..4...0.

___________________222__4400____ ....................2..4...0....

________________222_4400__0_____ .................2..4...0.......

_____________222_4400___________ ..............2..4...0..........

_________2222_4400______________ ...........2..4...0.............

______222__4400_________________ .......2..4...0.................

___222__440_____________________ ....2..4...0....................

_22__440________________________ .2..4...0.......................

4_440___________________________ .4...0..........................

________________________________ ..0.............................

________________________________ ................................

______________________________33 ................................

___400__________________________ .............................1..

__________________________111___ ..........................1.....

_______________________11_______ .......................1........

____________________11______4400 ...................1........40..

________________11_______4040222 ................1........40.....

_____________11_______440_______ .............1........40........

__________11_______400__________ ..........1........40...........

_______1________400_______222___ .......1........40............1.

____1________440__________111___ ...1........40............1.....

11_______444__________11________ 1........40............1.......4

_______4___________11________404 ......40............1.......4...

___44___________11_________400__ ...40............1.......4...0..

_____________11_________44002222 40............1.......4...0.....

_________11_________4400________ ..........1.......4...0......1..

______11_________4400___________ .......1.......4...0......1.....

___11_________4400______________ ....1.......4...0......1........

111________4400__________11_____ .1.......4...0......1...........

________440__________111_____440 ......4...0......1.............4

______440_________111______400__ ..4...0......1.............40...

____4___________11______400_____ ...0......1.............40......

____________111_____4400_0______ 0......1.............40.........

_________11______4400_0_________ ....1.............40............

______11______400_______________ .1.............40...............

___111_____44040________________ ...........40...................

_11_____40040___________________ ........40......................

____400400______________________ .....40.........................

_40_40__________________________ ..40............................

44______________________________ ...4............................

________________________________ ................................

________________________________ ................................

4_______________________________ ................................

____________________________3333 ..............................2.

_________________________3333___ ...........................2....

________________________________ ........................2.....40

______________________________1_ .....................2.....40...

________________________________ .................2.....40.......

________________________________ ..............2.....40..........

________________________________ ...........2.....40.............

________________________________ ........2.....40................

0____________________________333 .....2.....40...................

__________________________3333_4 .2.....40.......................

_____________________________333 ....40..........................

____________________________3333 .40.............................

___________________33___444_____ ................................

___3____________________________ ................................

______33___440__________________ .............................0..

___33__40_______________________ ..........................0.....

_3__440_________________________ .......................0........

_____________________________333 ....................0...........

___________________________3333_ ................0...............

_________________________33__044 .............0..................

_____4_____________________000__ ..........0.....................

_4______________________00______ .......0........................

_____________________0__________ ....0...........................

________________________________ 0...............................

0_______________00______________ ...............................1

40___________0__________________ ...........................1....

__________0______________111____ ........................1.......

______________________11________ .....................1..........

__________________111_______4404 ..................1..........4..

________________11________444333 ...............1..........4.....

_____________11_______4444444444 ...........1..........4.........

_________111_______444333_444___ ........1..........4............

______11________444333_444______ .....1..........4...............

___1_________44443______________ ..1..........4..................

1_________4444__________________ ..........4.....................

______44__________000___________ ......4.........................

____41________000_______________ ...4............................

__________0000__________________ 4...............................

0__0____________________________ .............................2..

_________________________222___4 ..........................2.....

______________________2222___440 .......................2.....40.

__________________22222___4000__ ...................2.....40.....

_______________2222___44000__333 ................2.....40........

____________2222__44000_________ .............2.....40..........3

_________2222__4400_____________ ..........2.....40..........3...

______222___4400_________333__44 .......2.....40..........3......

___22____4400_________33___440__ ...2.....40..........3........4.

2_____4400_________33___4400____ 2.....40..........3........4....

__440__________33____4400_______ ...40..........3........4.......

4__4________33___4440___________ 40..........3........4..........

_________33___4400______________ .........3........4.............

_____33____4400_________________ .....3........4.................

__33____440_____________________ ..3........4....................

_____440________________________ ........4.......................

__44_________________________222 .....4..........................

_____3__________________________ ..4.............................

________________________________ .............................0..

________________________________ ..........................0.....

________________________________ ......................0.........

________________________________ ...................0............

__________________11__________44 ..................1.............

_______________11______33_44444_ ...............1..............4.

____________11______33_44444____ ...........1..............4.....

_________11______33_4444________ ........1..............4........

____1111_____33__4444___________ .....1..............4...........

__11__________4444______________ ..1..............4..............

1______33__4444_________________ ..............4.................

_____3__4444____________________ ..........4.....................

____44444_______________________ .......4........................

_44444__________________________ ....4...........................

_4_________________________0000_ .4..............................

________________________00______ ................................

____________________0___________ ..............................0.

_______________________________1 ...........................0....

____________________________1___ ........................0.......

__________________________0_____ ....................0...........

__________________22____4440____ .0..............................

____________________________3333 ...............................3

_________________________333__44 ............................3...

______________________333__44___ .........................3.....4

___________________33___4_____33 ......................3.....4...

________________33___________333 ...................3.....4......

____________33___444____________ ...............3.....4..........

_________33___44________________ ............3.....4.............

_____333___44___________________ .........3.....4................

___3_____4______________________ ......3.....4...................

___4____________________________ ...3.....4......................

________________________________ .....4..........................

________________________________ ..4.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

__40____________________________ .............................1..

_________________________11_____ ..........................1.....

______________________11________ .......................1........

4__________________11________444 ....................1...........

________________11________4444__ ................1.............4.

_____________11________4444_____ .............1.............4....

__________11________444_________ ..........1.............4.......

______11_________444____________ .......1.............4..........

___11________4444_______________ ....1.............4.............

11_________444__________________ 1.............4.................

_________444____________________ ...........4....................

______40________________________ ........4.......................

___4____________________________ .....4..........................

________________________________ ..4.............................

________________________________ ................................

___________________00___________ ...............................0

____________________________11__ ...........................0....

_____________0____________000___ ........................0.......

__________0_________________00__ .....................0..........

________0_______________________ ..................0.............

________________________________ ...............0................

________________________________ ...........0..................1.

___________________________1111_ ........0..................1....

_______________________111______ .....0..................1.......

____________________111________4 ..0..................1..........

_________________11_________4444 ..................1...........4.

______________11___________44444 ..............1...........4.....

__________111___________4444444_ ...........1...........4........

_______11___________44444444444_ ........1...........4...........

____11___________44444_____44___ .....1...........4..............

11____________44444_____________ ..1...........4.................

1___________4444______4_________ ..........4.....................

________________________________ ...4............................

______________________33__44____ 4...............................

_________________________2222222 ..............................2.

_________________________22222__ ...........................2....

______________________22222__440 ........................2......4

__________________22222___440000 .....................2......40..

________________222____4400000__ .................2......40......

_____________222___4444400______ ..............2......40.........

__________222____44000__________ ...........2......40............

______2222___400400_____________ ........2......40...............

___22_2___00440_________________ .....2......40..................

2__2__40___4____________________ .2......40......................

3_____4404______________________ .....40.........................

______40________________________ ..40............................

______________________________33 0...............................

___________________________33__4 ................................

_____________________________111 ................................

_______________________33___44__ ................................

________________________________ ..............................0.

_4______________________________ ...........................0....

________________________________ .......................0........

____________________________11__ ....................0...........

________________________________ .................0..............

________________________________ ..............0.................

________________________________ ...........0....................

________________________________ .......0........................

____00__________________________ ....0...........................

40______________________________ .0..............................

_____________________________333 .............................1..

__________________________111___ ..........................1.....

_______________________11______4 .......................1........

___________________11________44_ ...................1..........4.

________________11_______444____ ................1..........4....

_____________11______444________ .............1..........4.......

__________11______444___________ ..........1..........4..........

_______11______444______________ .......1..........4.............

____1_______44__________________ ...1..........4.................

11_______44_____________________ 1..........4....................

______40________________________ ........4.......................

___44___________________________ .....4..........................

___2222__440____________________ ..4.............................

__2_________________________2222 ................................

________________________________ ...............................1

____________________________11__ ...........................1....

_________________________11_____ ........................1.......

_____________________11_________ .....................1..........

__________________11__________44 ..................1.............

_______________11______33_44444_ ...............1..............4.

____________11______33_44444____ ...........1..............4.....

_________11______33_4444________ ........1..............4........

____1111_____33__4444___________ .....1..............4...........

__11__________4444______________ ..1..............4..............

1______33__4444_________________ ..............4.................

_____3__4444____________________ ..........4.....................

____44444_______________________ .......4........................

_44444__________________________ ....4...........................

_4_________________________0000_ .4..............................

________________________00______ ................................

____________________0___________ ..............................0.

_______________________________1 ...........................0....

____________________________1___ ........................0.......

__________________________0_____ ....................0...........

__________________22____4440____ .0..............................

____________________________3333 ...............................3

____________________________2222 ................................

_______________________22_____22 .............................2..

____________________2_____222_44 ..........................2.....

________________22_____222__4403 .......................2.......4

____________________222_______40 ....................2.......40..

_________________22________43044 .................2.......40.....

______________22____________4400 .............2.......40.........

___________22____________4400___ ..........2.......40............

________22____________4000______ .......2.......40...............

____222___________4400__________ ....2.......40..................

_22_____________440_____________ .2.......40.....................

_____________440________________ .....40.........................

_______________________________3 ..40............................

_____________________________111 0...............................

_________________________3334444 ................................

________________________________ ................................

_0__________33__________________ .0..............................

________________________________ ............................3...

_0______________________________ .........................3......

________________________________ ......................3......4..

_______________________________3 ...................3......4.....

________________________________ ................3......4........

________________________________ ............3......4............

_0______________________________ .........3......4...............

________________________________ ......3......4..................

___4_________________________333 ...3......4.....................

__________________________33____ 3......4........................

________________________________ ...4............................

______________________33__44____ 4...............................

_________________________2222222 ..............................2.

_________________________22222__ ...........................2....

______________________22222__440 ........................2......4

__________________22222___440000 .....................2......40..

________________222____4400000__ .................2......40......

_____________222___4444400______ ..............2......40.........

__________222____44000__________ ...........2......40............

______2222___400400_____________ ........2......40...............

___22_2___00440_________________ .....2......40..................

2__2__40___4____________________ .2......40......................

3_____4404______________________ .....40.........................

______40________________________ ..40............................

______________________________33 0...............................

___________________________33__4 ................................

_____________________________111 ................................

_______________________33___44__ ................................

________________________________ ..............................0.

_4______________________________ ...........................0....

________________________________ .......................0........

____________________________11__ ....................0...........

________________________________ .................0..............

________________________________ ..............0.................

________________________________ ...........0....................

________________________________ .......0........................

____00__________________________ ....0...........................

40______________________________ .0..............................

_____________________________333 .............................1..

__________________________111___ ..........................1.....

_______________________11______4 .......................1........

___________________11________44_ ...................1..........4.

________________11_______444____ ................1..........4....

_____________11______444________ .............1..........4.......

__________11______444___________ ..........1..........4..........

_______11______444______________ .......1..........4.............

____1_______44__________________ ...1..........4.................

__________11_______400_111______ 4.........1........40...1.......

_______1________400_111_______44 .......1........40...1.........4

____1________400_111_______444__ ....1........40...1.........40..

_1________40__111_______444_____ .1........40...1.........40.....

______440__11_______444_________ ......40...1.........40.........

___4440_11________44____________ ...40...1.........40............

_____11_______444_______________ 40...1.........40...............

__11_______444__________________ ..1.........40..................

1_______44______________________ .........40.....................

______44________________________ .....40.........................

___44___________________________ ..40............................

________________________________ .............................3..

________________________________ ..........................3...40

________________________________ ......................3...40....

40______________________________ ...................3...40.......

________________________________ ................3...40..........

________________________________ .............3...40.............

________________________________ ..........3...40................

_0______________________________ ......3...40....................

0_______________________________ ...3...40.......................

00______________________________ 3...40..........................

00______________________________ .40.............................

_0________________________1_____ ................................

________________________________ ..............................1.

____________________________11__ ...........................1....

________________________111_____ .......................1........

____________________111______444 ....................1........40.

_________________11_______440___ .................1........40....

______________11_______44_______ ..............1........40.......

___________11_______40______2___ ...........1........40..........

________11_______400____________ .......1........40..............

____111______4400_______________ ....1........40.................

11________400___________________ .1........40....................

______440_______________________ .......40.......................

___440__________________________ ....40..........................

40______3_______________3_______ 40..............................

_____________________________333 ................................

________________________________ ...0............................

0_______________________________ ................................

___________________________2222_ ..............................2.

________________________22222___ ..........................2...40

_____________________2222222__40 .......................2...40...

__________________22222____44000 ....................2...40......

_______________2222____44000____ .................2...40.........

____________22222___440000______ ..............2...40............

_________22222___400__0_________ ..........2...40................

______222____44000_0____________ .......2...40...................

__22222____4000_________________ ....2...40......................

2222___4400___________________33 .2...40.........................

2___400___________________33____ ..40............................

________________________________ ................................

________________________________ ................................

______________________________66 ................................

________________________________ ...............................0

_______________________________6 ............................0...

________________________________ .........................0......

__0_____________________________ ......................0.........

_0_4____________________________ ..................0.............

___4____________________________ ...............0................

4040____________________________ ............0...................

00______________________________ .........0......................

_____________________________111 ......0.........................

0___________________________3333 ..0.............................

00________________________333324 ................................

_0______________________________ ..........................3....4

________________________________ .......................3....4...

______________________________22 ....................3....4......

_____________________________222 .................3....4.........

______________________________22 ..............3....4............

________________________________ ..........3....4................

________________________________ .......3....4...................

________________________________ ....3....4......................

__40_________________________222 .3....4.........................

_44_____________________________ ...4............................

________3_______________________ ................................

________________________________ ...............................2

________________________________ ............................2...

__________________________000__3 .........................2.....4

______________________________1_ ......................2.....40..

___________________00___________ ..................2.....40......

_____________________________111 ...............2.....40.........

40___________0__________________ ............2.....40............

_0________0_____________________ .........2.....40...............

________________________________ ......2.....40..................

__40____________________________ ..2.....40......................

0_______________________________ .....40.........................

______4_________________________ ..40............................

______________________________11 ................................

____________________________3222 ................................

________________________________ ................................

____________________________2223 ............................2...

__________________________2__33_ .........................2......

___________________________11111 ......................2......40.

________________________________ ..................2......40.....

________________________________ ...............2......40........

________________________________ ............2......40...........

__________2_____________________ .........2......40..............

______2_________________________ ......2......40.................

_____________________________111 ..2......40.....................

______________________________33 ......40........................

________________________________ ...40...........................

_____________________________111 40..............................

________________________________ ................................

_0______________________________ ................................

________________________________ ................................

__________________________111___ ................................

___________________________11113 ..............................3.

_________________________33_1111 ...........................3....

_______________________33_______ ........................3....4..

____________________3_____00____ .....................3....4.....

_______________________00_______ ..................3....4........

_____00_________________________ ..............3....4............

_______________4________________ ...........3....4...............

___________44___________________ ........3....4..................

_____4__44______________________ .....3....4.....................

____44440_______________________ ..3....4........................

4__400__________________________ ...4............................

__0_____________________________ 4...............................

_____________________________00_ .............................1..

_________________________111____ ..........................1.....

_______________________11_______ .......................1........

____________________11_________4 ...................1........40..

_________________11________4444_ ................1........40.....

______________111_______444_____ .............1........40........

_________11_1_______444_________ ..........1........40...........

______11_________444____________ .......1........40..............

___111_1______44________________ ...1........40..................

_11_______444___________________ 1........40.....................

__________33___40______3________ ........40....................3.

_______33___400_________________ .....40....................3....

___333___40_________________000_ ..40....................3......4

_____40__________________000____ 0....................3......40..

___________3__________00________ ..................3......40.....

_______33__________00___________ ..............3......40........2

_____3______4___________________ ...........3......40........2...

_3______________________________ ........3......40........2......

________________________________ .....3......40........2.......40

________________________________ ..3......40........2.......40...

___40___________________________ .....40........2.......40.......

4___0___________________________ ..40........2.......40..........

0_______________________________ 0........2.......40.............

________________________________ ......2.......40................

________________________________ ...2.......40...................

________________________________ .......40.......................

________________________________ ....40..........................

________________________________ .40.............................

____________________________1111 ................................

_______33_______________________ ...............................3

____33__________________22____44 ...........................3...4

_3___________________22____44000 ........................3...40..

_________________222___44000____ .....................3...40.....

_____2________222___4000________ ..................3...40........

_22________222___4400___________ ...............3...40...........

________22____400_______________ ...........3...40...............

_____22____400__________________ ........3...40..................

_2222__4400_____________________ .....3...40.....................

222__4400_______________________ ..3...40........................

___40________________________00_ ...40...........................

__________________________000___ 0...............................

________________111______4000___ .3....40..........1.........40..

_____________11______4400_______ ..40..........1.........40......

__________11______4000__________ 0..........1.........40.........

_______11______4400__________333 ........1.........40...........3

____11______4400_________333___4 .....1.........40...........3...

11_______4400_________333___44__ ..1.........40...........3......

______400___________33___440____ ........40...........3.......4..

___440___________3____400_______ .....40...........3.......4.....

_____________33___4400__________ ..40...........3.......4........

__________33___440_________0____ 0...........3.......4...........

_______3____400________00_______ .........3.......4..............

____________________00__________ .....3.......4..................

_________________00_____________ ..3.......4.....................

____40_________0________________ .......4........................

________________________________ ....4...........................

________0_______________________ .4..............................

___4______________________11111_ .............................1..

_______________________1111_____ .........................1......

_____________________111_______4 ......................1.........

__________________111_______444_ ...................1.........40.

_______________11________444____ ................1.........40....

___________1111______444________ .............1.........40.......

_________11_______444___________ .........1.........40...........

______11_______444______________ ......1.........40..............

___11_______444_________________ ...1.........40.................

11_______444____________________ 1.........40....................

______444_______________________ .......40.......................

___444__________________________ ...40...........................

_4________________________0_____ 40..............................

________________________________ ................................

________________________________ ................................

____________________________3333 ................................

___________________0____________ ................................

4______44_____________33333400__ ....................2...40......

________________________________ .................2...40.........

________________________2___4000 ..............2...40............

____________________222___00000_ ...........2...40...............

________________222___40000_____ ........2...40..................

______________2____0000_________ ....2...40......................

___________2____000_____________ .2...40.........................

0_4_________4000________________ ..40............................

0_3_________00_________________5 0...............................

033___404________________5555555 ................................

______________________________11 ................................

___________________00222__4____2 ................................

_____________________________222 ...............................2

______0______________________222 ...........................2....

_____________________________222 ........................2.......

__________________________2222__ .....................2..........

_______________________2222____4 ..................2.............

________4___________222_____4000 ...............2..............4.

_________0_______222______4400__ ...........2..............4.0...

_______________22______40_______ ........2..............4.0......

____________2_______4___________ .....2..............4.0.........

______________________________0_ ..2..............4.0............

________________________________ ..............4.0...............

0_2_____________________________ ..........4.0...................

________________________________ .......4.0......................

________________________________ ....4.0.........................

_______0________________________ .4.0............................

________________________________ 0...............................

___22_2__2___4440____________111 ...............................2

___2__2____444_______________111 ...........................2....

___2____440__________________4__ ........................2......4

__2___40____________222___44000_ .....................2......40..

________________2222______4000__ ..................2......40.....

_____________222_____40000______ ...............2......40........

____________2_______00__________ ...........2......40............

______2__________0______________ ........2......40...............

___2______00_________________333 .....2......40..................

2_____400__0______________333__4 ..2......40.....................

____0__0________________________ ......40........................

0_______________________________ ..40............................

00______________________________ 0...............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

___________________________0__11 ................................

____________________________111_ .............................1..

_________________________11_____ .........................1......

______________________11________ ......................1.........

___________________11__________4 ...................1.........4..

________________11_________44444 ................1.........4.....

_____________11________444444444 .............1.........4........

_________11_________4444444_____ .........1.........4.........1..

______11_________44444444111____ ......1.........4.........1.....

___11_________44444444111_______ ...1.........4.........1........

111________44444444111_______444 1.........4.........1........40.

________44444441111______4400111 .......4.........1........40...1

____4__40_40_11_______440011____ ...4.........1........40...1....

__________11_______400_111______ 4.........1........40...1.......

_______1________400_111_______44 .......1........40...1.........4

____1________400_111_______444__ ....1........40...1.........40..

_1________40__111_______444_____ .1........40...1.........40.....

______440__11_______444_________ ......40...1.........40.........

_3______44______________________ .4..............................

__________________________11111_ .............................1..

________________________111_____ ..........................1.....

____________________1111______44 .......................1........

_________________111________4444 ....................1........4..

___4__________111_________444444 .................1........4.....

___________111_________4444_____ .............1........4.........

_______11___________4444________ ..........1........4............

____11___________4444___________ .......1........4...............

_11___________4444______________ ....1........4..................

____________4444________________ .1........4.....................

__________444________________11_ ......4.........................

_______44_________________11111_ ...4............................

____________________________11__ 4...............................

__________________________11111_ ................................

________________________________ ................................

_______________________0________ ..............................0.

________________________________ ...........................0....

________________________________ ........................0.......

____________________________00__ ....................0...........

________________________________ .................0..............

_____________________________1__ ..............0.................

_______________________________3 ...........0....................

_____________________________3__ ........0.......................

_______________________________2 ....0...........................

___________________________0_223 .0..............................

______________________111_______ .0......................1.......

___________________11________444 ....................1...........

________________11_______444____ .................1...........4..

_____________1________444__1____ ..............1...........4.....

_________11_______444___3_______ ...........1...........4........

______11_______44_______________ ........1...........4...........

___11_______444_________________ ....1...........4...............

11_______40_____________________ .1...........4..................

______40________________________ ..........4.....................

________33____444_______________ .......4........................

_____33_____44__________________ ....4...........................

_33_____________________________ 4...............................

_________________________111____ ............................1...

_____________________111________ ........................1.......

___________________11__________4 .....................1..........

________________11__________4444 ..................1............4

____________11___________4444___ ...............1............40..

_________11__________44444______ ............1............40.....

_____1111_________4444__________ ........1............40.........

__11__1________44444____________ .....1............40............

_11__________4444_______________ ..1............40...............

1_________4444__________________ ............40..................

_______444______________________ .........40.....................

____44__________________________ .....40.........................

______________________________11 ..40.........................1..

__________________________1111__ 0.........................1.....

_______________________11_______ .......................1........

______________3_____11______4401 ....................1...........

_________________11_______440__3 ................1..............4

_____________111_______44___3___ .............1..............4...

__________11_______440__33______ ..........1..............4......

_______11_______444_____________ .......1..............4.........

___11_________44________________ ....1..............4............

11________444___________________ 1..............4................

_________4____________________11 ............4...................

___4__4_________________________ .........4.....................1

____________4______________1111_ ......4.....................1...

_______________________11111____ ...4.....................1......

_____________________________111 .0..............................

________________________________ .............................3..

______________________________11 ..........................3.....

_____________________________111 .......................3.....4..

__________________________000___ ....................3.....4.....

________________________00______ .................3.....4........

____________________00__________ .............3.....4............

_________________00_________2222 ..........3.....4...............

_____________00__________222__44 .......3.....4..................

__________00__________22______22 ....3.....4.....................

_______0___________2___________4 .3.....4........................

________________2____________000 ...4............................

___________________________0____ 4...............................

______________________________22 ................................

________________111______4400___ .0..............1..........40...

_____________111______4400______ ............1..........40.......

__________11______4400__________ .........1..........40..........

_______1________400_____________ ......1..........40.............

____1________400________________ ...1..........40................

_11______4400___________________ 1..........40...................

_______400______________________ .......40.......................

____40__________________________ ....40.......................3..

